title,artist,gen,feeling,,,,
Thinking out Loud,Ed Sheeran,pop,Chill,,,,
I'm Not The Only One,Sam Smith,pop,Nostalgia,,,,
The Hills,The Weeknd,r&b,Rage,,,,
Watch,Billie Eilish,pop,Defeat,,,,
Uptown Funk,Mark Ronson,dance pop,Joyful,,,,
Take Me To Church,Hozier,indie rock,Rage,,,,
Leave Before You Love Me (ft. Marshmello),Jonas Brothers,pop,Nostalgia,,,,
Sorry,Justin Bieber,pop,Joyful,,,,
FourFiveSeconds,Rihanna,ballad,Nostalgia,,,,
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,Euforia,,,,
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,r&b,Euforia,,,,
Chemical,Post Malone,pop rock,Nostalgia,,,,
Stitches,Shawn Mendes,pop,Rage,,,,
Want to Want Me,Jason Derulo,dance pop,Joyful,,,,
My House,Flo Rida,dance pop,Joyful,,,,
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,Joyful,,,,
Night Changes,One Direction,pop,Nostalgia,,,,
How Deep Is Your Love,Calvin Harris,dance pop,Joyful,,,,
Never Forget You,Zara Larsson,dance pop,Nostalgia,,,,
Love Me Harder,Ariana Grande,dance pop,Joyful,,,,
Animals,Maroon 5,pop,Rage,,,,
Blame,Calvin Harris,dance pop,Joyful,,,,
Worth It,Fifth Harmony,dance pop,Joyful,,,,
Break Free,Ariana Grande,dance pop,Optimism,,,,
Viernes 13,Marcos Menchaca,latin:pop,Chill,,,,
Homerun (Intro),Paulo Londra,latin:trap,Chill,,,,
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,Joyful,,,,
Hello,Adele,soul,Nostalgia,,,,
Dear Future Husband,Meghan Trainor,dance pop,Joyful,,,,
The Heart Wants What It Wants,Selena Gomez,dance pop,Defeat,,,,
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,Joyful,,,,
Genie In a Bottle,Christina Aguilera,dance pop,Optimism,,,,
Company,Justin Bieber,pop,Joyful,,,,
Sing,Ed Sheeran,pop,Joyful,,,,
Jealous - Remix,Nick Jonas,dance pop,Joyful,,,,
Really Don't Care,Demi Lovato,dance pop,Optimism,,,,
Only Love Can Hurt Like This,Paloma Faith,soul,Nostalgia,,,,
La La La (ft. Sam Smith),Naughty Boy,r&b:dance pop,Optimism,,,,
Same Old Love,Selena Gomez,dance pop,Rage,,,,
I Want You To Know,Zedd,electro house,Joyful,,,,
Lips Are Movin,Meghan Trainor,dance pop,Joyful,,,,
I'll Show You,Justin Bieber,pop,Overcoming Fear,,,,
Beauty and a Beat (ft. Nicki Minaj),Justin Bieber,dance pop,Joyful,,,,
I Lived,OneRepublic,dance pop,Joyful,,,,
Fireball (feat. John Ryan),Pitbull,dance pop,Joyful,,,,
I Really Like You,Carly Rae Jepsen,pop,Optimism,,,,
BO$$,Fifth Harmony,dance pop,Joyful,,,,
Sugar,Maroon 5,pop,Joyful,,,,
Focus,Ariana Grande,dance pop,Joyful,,,,
All About That Bass,Meghan Trainor,dance pop,Joyful,,,,
On My Mind,Ellie Goulding,dance pop,Rage,,,,
Love Me Like You,Little Mix,dance pop,Defeat,,,,
Mark My Words,Justin Bieber,pop,Overcoming Fear,,,,
Lay It All on Me,Rudimental,dance pop,Overcoming Fear,,,,
American Oxygen,Rihanna,pop,Chill,,,,
Bang Bang,Jessie J,pop,Joyful,,,,
Reality - Radio Edit,Lost Frequencies,electro house,Chill,,,,
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,indie pop,Chill,,,,
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,Nostalgia,,,,
Heroes (we could be),Alesso,electro house,Euforia,,,,
Perfect,One Direction,pop,Joyful,,,,
Steal My Girl,One Direction,pop,Nostalgia,,,,
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,Joyful,,,,
We Are Here,Alicia Keys,hip hop,Optimism,,,,
St Jude,Florence + The Machine,pop,Defeat,,,,
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,Overcoming Fear,,,,
Time of Our Lives,Pitbull,dance pop,Euforia,,,,
Japanese Denim,Daniel Ceasar,r&b,Chill,,,,
Mr. Put It Down,Ricky Martin,dance pop,Joyful,,,,
Harleys in Hawaii,Katy Perry,dance pop,Joyful,,,,
Let Me Be Your Lover,Enrique Iglesias,dance pop,Joyful,,,,
Let's Get Loud,Jennifer Lopez,dance pop,Joyful,,,,
The Hills,The Weeknd,r&b,Rage,,,,
Cake By The Ocean,DNCE,dance pop,Joyful,,,,
Don't Let Me Down,The Chainsmokers,electropop,Optimism,,,,
Million Reasons,Lady Gaga,dance pop,Optimism,,,,
Needed Me,Rihanna,pop,Defeat,,,,
7 Years,Lukas Graham,pop,Nostalgia,,,,
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,Joyful,,,,
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,Optimism,,,,
Scars To Your Beautiful,Alessia Cara,r&b,Optimism,,,,
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,Optimism,,,,
Work,Rihanna,pop,Joyful,,,,
